layer_name,parameter_group,parameter_count,delta_l2,relative_delta_l2,maximum_absolute_delta,seed,target_pdp,support_size,method
encoder_conv_3,shared,24640,0.0,0.0,0.0,2026,7,256,joint_particular_adaptation
encoder_conv_4,shared,386,0.0,0.0,0.0,2026,7,256,joint_particular_adaptation
channel_est_conv_1,shared,2816,0.0,0.0,0.0,2026,7,256,joint_particular_adaptation
channel_est_conv_2,shared,98432,0.0,0.0,0.0,2026,7,256,joint_particular_adaptation
channel_est_conv_3,shared,24640,0.0,0.0,0.0,2026,7,256,joint_particular_adaptation
channel_est_conv_4,shared,6176,0.0,0.0,0.0,2026,7,256,joint_particular_adaptation
channel_est_conv_5,shared,291,0.0,0.0,0.0,2026,7,256,joint_particular_adaptation
channel_est_dense_1,shared,40900,0.0,0.0,0.0,2026,7,256,joint_particular_adaptation
estimated_channel,shared,4040,0.0,0.0,0.0,2026,7,256,joint_particular_adaptation
decoder_conv_1,particular,102656,0.029850369319319725,0.00261664588362072,0.0009002834558486938,2026,7,256,joint_particular_adaptation
decoder_res1_input,particular,163968,0.0322846844792366,0.0024244472821694702,0.0010653771460056305,2026,7,256,joint_particular_adaptation
decoder_res1_conv1,shared,82048,0.0,0.0,0.0,2026,7,256,joint_particular_adaptation
decoder_res1_conv2,particular,82048,0.04130767658352852,0.0034887455897578924,0.0010556168854236603,2026,7,256,joint_particular_adaptation
decoder_res2_input,shared,41024,0.0,0.0,0.0,2026,7,256,joint_particular_adaptation
decoder_res2_conv1,shared,20544,0.0,0.0,0.0,2026,7,256,joint_particular_adaptation
decoder_res2_conv2,shared,12352,0.0,0.0,0.0,2026,7,256,joint_particular_adaptation
decoder_conv_final,shared,6176,0.0,0.0,0.0,2026,7,256,joint_particular_adaptation
pred_logits_full,shared,97,0.0,0.0,0.0,2026,7,256,joint_particular_adaptation
encoder_conv_1,shared,1536,0.0,0.0,0.0,2026,7,256,algorithm1_particular_adaptation
encoder_conv_2,shared,98432,0.0,0.0,0.0,2026,7,256,algorithm1_particular_adaptation
encoder_conv_3,shared,24640,0.0,0.0,0.0,2026,7,256,algorithm1_particular_adaptation
encoder_conv_4,shared,386,0.0,0.0,0.0,2026,7,256,algorithm1_particular_adaptation
channel_est_conv_1,shared,2816,0.0,0.0,0.0,2026,7,256,algorithm1_particular_adaptation
channel_est_conv_2,shared,98432,0.0,0.0,0.0,2026,7,256,algorithm1_particular_adaptation
channel_est_conv_3,shared,24640,0.0,0.0,0.0,2026,7,256,algorithm1_particular_adaptation
channel_est_conv_4,shared,6176,0.0,0.0,0.0,2026,7,256,algorithm1_particular_adaptation
channel_est_conv_5,shared,291,0.0,0.0,0.0,2026,7,256,algorithm1_particular_adaptation
channel_est_dense_1,shared,40900,0.0,0.0,0.0,2026,7,256,algorithm1_particular_adaptation
estimated_channel,shared,4040,0.0,0.0,0.0,2026,7,256,algorithm1_particular_adaptation
decoder_conv_1,particular,102656,0.04872080311179161,0.00426900965874769,0.0020917877554893494,2026,7,256,algorithm1_particular_adaptation
decoder_res1_input,particular,163968,0.06276156008243561,0.004711740557977448,0.002248816192150116,2026,7,256,algorithm1_particular_adaptation
decoder_res1_conv1,shared,82048,0.0,0.0,0.0,2026,7,256,algorithm1_particular_adaptation
decoder_res1_conv2,particular,82048,0.08294264227151871,0.00700315728390054,0.0037150420248508453,2026,7,256,algorithm1_particular_adaptation
decoder_res2_input,shared,41024,0.0,0.0,0.0,2026,7,256,algorithm1_particular_adaptation
decoder_res2_conv1,shared,20544,0.0,0.0,0.0,2026,7,256,algorithm1_particular_adaptation
decoder_res2_conv2,shared,12352,0.0,0.0,0.0,2026,7,256,algorithm1_particular_adaptation
decoder_conv_final,shared,6176,0.0,0.0,0.0,2026,7,256,algorithm1_particular_adaptation
pred_logits_full,shared,97,0.0,0.0,0.0,2026,7,256,algorithm1_particular_adaptation
encoder_conv_1,shared,1536,0.0,0.0,0.0,2027,6,64,joint_particular_adaptation
encoder_conv_2,shared,98432,0.0,0.0,0.0,2027,6,64,joint_particular_adaptation
encoder_conv_3,shared,24640,0.0,0.0,0.0,2027,6,64,joint_particular_adaptation
encoder_conv_4,shared,386,0.0,0.0,0.0,2027,6,64,joint_particular_adaptation
channel_est_conv_1,shared,2816,0.0,0.0,0.0,2027,6,64,joint_particular_adaptation
channel_est_conv_2,shared,98432,0.0,0.0,0.0,2027,6,64,joint_particular_adaptation
channel_est_conv_3,shared,24640,0.0,0.0,0.0,2027,6,64,joint_particular_adaptation
channel_est_conv_4,shared,6176,0.0,0.0,0.0,2027,6,64,joint_particular_adaptation
channel_est_conv_5,shared,291,0.0,0.0,0.0,2027,6,64,joint_particular_adaptation
channel_est_dense_1,shared,40900,0.0,0.0,0.0,2027,6,64,joint_particular_adaptation
estimated_channel,shared,4040,0.0,0.0,0.0,2027,6,64,joint_particular_adaptation
decoder_conv_1,particular,102656,0.10090640932321548,0.008845281042674964,0.0019531603902578354,2027,6,64,joint_particular_adaptation
decoder_res1_input,particular,163968,0.10515448451042175,0.007896643568342984,0.001949552446603775,2027,6,64,joint_particular_adaptation
decoder_res1_conv1,shared,82048,0.0,0.0,0.0,2027,6,64,joint_particular_adaptation
decoder_res1_conv2,particular,82048,0.14355343580245972,0.012124171020860854,0.0035222135484218597,2027,6,64,joint_particular_adaptation
